"Latitude","Longitude"
"1",-28.9845,16.72429
"2",-29.38053,16.94238
"3",-29.83253,17.08194
"4",-30.26426,17.25928
"5",-30.67874,17.47638
"6",-31.0858,17.72167
"7",-31.46252,18.00426
"8",-31.84555,18.24793
"9",-32.30197,18.3444
"10",-32.7242,18.19559
"11",-32.83238,17.85142
"12",-33.02889,18.03498
"13",-33.1548,18.00579
"14",-33.50368,18.31646
"15",-33.90813,18.46779
"16",-34.21088,18.3682
"17",-34.11221,18.46665
"18",-34.1898,18.81859
"19",-34.35367,19.06788
"20",-34.59395,19.33624
"21",-34.786,19.65776
"22",-34.74958,20.07208
"23",-34.49243,20.47732
"24",-34.3881,20.87056
"25",-34.4248,21.35563
"26",-34.38157,21.82968
"27",-34.15734,22.11571
"28",-34.01308,22.53969
"29",-34.07989,23.01642
"30",-34.10201,23.35867
"31",-34.00998,23.78027
"32",-34.08458,24.26944
"33",-34.18988,24.73894
"34",-33.9713,25.03553
"35",-34.03581,25.51952
"36",-33.79133,25.69996
"37",-33.72051,26.17661
"38",-33.70001,26.64813
"39",-33.52269,27.10371
"40",-33.26662,27.51706
"41",-33.01227,27.92591
"42",-32.73128,28.30072
"43",-32.43986,28.68348
"44",-32.1137,29.04811
"45",-31.76221,29.37234
"46",-31.46446,29.74337
"47",-31.17581,30.12123
"48",-30.80858,30.4116
"49",-30.41392,30.67698
"50",-30.01205,30.93173
"51",-29.62306,31.14903
"52",-29.26026,31.46025
"53",-28.94383,31.81668
"54",-28.69975,32.2117
"55",-28.31805,32.46202
"56",-27.86866,32.58902
"57",-27.41544,32.71765
"58",-26.97485,32.87288
